id,motion_a_x,motion_a_y,motion_a_z,motion_b_x,motion_b_y,motion_b_z,cardiovascular,nervous,pulmonary,expansion_a,expansion_b
0,526,404,571,611,547,480,0,0,371,0,0
1,526,404,572,610,545,478,0,0,372,0,0
2,527,404,572,610,545,478,0,11,361,0,0
3,526,404,573,610,547,478,0,31,374,0,0
4,527,405,573,612,547,481,0,0,406,0,0
5,526,404,573,612,546,479,0,3,343,0,0
6,526,403,573,611,547,478,0,19,373,0,0
7,526,403,573,611,546,479,0,0,384,0,0
8,526,403,573,611,548,480,0,0,358,0,0
9,526,405,572,611,546,480,0,6,367,0,0
10,527,405,572,611,547,479,0,0,383,0,0
11,525,404,573,611,547,477,0,0,362,0,0
12,526,403,573,610,547,480,0,93,355,0,0
13,525,403,572,611,548,479,0,13,381,0,0
14,525,403,573,610,547,480,0,0,388,0,0
15,526,404,572,610,546,478,0,0,368,0,0
16,526,403,572,612,546,478,0,3,371,0,0
17,527,405,572,611,547,479,0,0,383,0,0
18,527,405,572,610,546,479,0,0,358,0,0
19,526,405,572,611,546,480,0,0,369,0,0
20,526,404,572,611,547,479,0,9,381,0,0
21,526,404,574,611,547,480,0,0,383,0,0
22,526,405,572,612,547,481,0,0,366,0,0
23,526,405,572,611,547,479,0,0,369,0,0
24,526,406,573,611,547,479,0,0,381,0,0
25,527,403,572,610,546,480,0,0,370,0,0
26,526,404,574,612,546,480,0,0,382,0,0
27,526,403,574,610,547,481,0,0,351,0,0
